Investment,UK  P  308  Leads ,UK  D  DS4  Orders ,DE  D  DS4  Orders  ,IT  D  DS3 Orders (Private) ,IT  D  DS4 Orders (Private) ,DE  P  3008  Orders  ,IT  D  DS3 Orders ,DE  P  3008  Orders  ,IT  D  DS5 Leads ,UK  P  108  Leads ,IT  D  DS3 Orders ,UK  C  C4P+GC4P  Leads ,IT  D  DS4 Orders ,IT  D  DS4 Orders ,DE  D  DS5  Orders  ,DE  P  207208  Leads  ,UK  P  2008  Leads ,DE  D  DS3  Orders  ,DE  P  3008  Orders  ,DE  D  DS4  Leads  ,DE  D  DS5  Orders  ,UK  D  DS4  Orders ,DE  D  DS4  Orders  ,DE  D  Orders  ,UK  C  BRAND  Orders  ,UK  C  C1  Orders ,UK  P  2008  Orders ,DE  P  207208  Orders  ,DE  D  DS3  Orders  ,UK  P  2008  Leads ,DE  P  2008  Orders  ,DE  P  2008  Orders  ,DE  C  C1  Orders  ,IT  D  DS3 Orders ,DE  C  C4P GC4P  Orders  ,UK  D  DS5  Leads ,DE  P  2008  Orders  ,DE  D  DS4  Leads  ,UK  P  308  Leads ,DE  C  C1  Orders  ,DE  P  207208  Orders  ,UK  P  308  Orders ,UK  C  C4P+GC4P  Orders ,UK  P  208  Orders ,IT  D  DS4 Leads ,DE  P  308  Orders  ,DE  C  C1  Orders  ,UK  P  3008  Orders ,DE  P  308  Orders  ,DE  C  C1  Leads  ,DE  C  C4P GC4P  Orders  ,UK  P  108  Leads ,UK  P  2008  Leads ,UK  P  108  Orders ,IT  D  DS5 Leads ,UK  P  308  Leads ,UK  P  Brand  ,DE  D  DS3  Leads  ,DE  C  C4P GC4P  Orders  ,UK  P  2008  Orders ,UK  P  2008  Leads ,DE  P  Brand  ,DE  D  Orders  ,DE  C  C4P GC4P  Orders  ,DE  C  Orders  ,UK  P  208  Orders ,DE  D  DS4  Leads  ,UK  C  C4P+GC4P  Orders ,DE  P  308  Orders  ,UK  C  C1  Leads ,DE  P  308  Orders  ,UK  P  108  Leads ,UK  C  C1  Leads ,UK  C  C4P+GC4P  Leads ,UK  P  2008  Orders ,DE  D  Orders  ,UK  C  C4P+GC4P  Leads ,DE  P  2008  Orders  ,UK  P  208  Leads ,DE  C  C1  Leads  ,DE  P  207208  Orders  ,UK  P  3008  Orders ,DE  P  207208  Orders  ,DE  C  C4P GC4P  Leads  ,DE  C  Orders  ,UK  P  108  Orders ,UK  P  308  Orders ,DE  C  C1  Orders  ,DE  P  Brand  ,UK  C  C1  Orders ,UK  C  BRAND  Orders  ,UK  C  BRAND  Orders  ,UK  C  C4P+GC4P  Leads ,UK  C  BRAND  Orders  ,UK  P  3008  Orders ,DE  P  Brand  ,UK  P  Brand  ,DE  C  Orders  ,UK  C  C4P+GC4P  Orders ,DE  P  Brand  ,UK  C  BRAND  Orders  
250000,9.063138945,9.941192562,14.16634772,16.80837653,16.80837653,16.36795237,16.7635089,16.88381991,17.32078348,17.71587437,18.52927763,19.98713909,20.30593011,19.81005329,19.24667869,20.86688785,21.07516439,21.41808976,21.90481209,22.36091824,23.87834487,28.2588305,30.7437492,32.72958729,40.42583801,40.42584659,43.12125841,43.10325545,44.1389323,46.46075684,47.05971312,48.31017442,49.06295959,49.33598578,48.72047543,54.76822574,62.19293242,60.40758171,59.43920503,65.95835486,69.1437694,76.50966109,73.91704497,78.12209891,,78.30310712,74.7084958,86.0778249,89.42608762,71.05770791,91.05879946,95.56147746,83.6202853,106.2609522,117.3063855,,133.8514085,,134.3968396,139.4960804,123.0913004,139.1144438,139.9142116,131.396568,142.4299325,152.9104286,149.4974908,140.7760234,154.7165314,160.8161913,156.2102676,129.3045829,,126.2951698,162.4996188,167.5539165,160.2175394,182.8670516,183.1001259,,208.356877,180.4688179,213.0272109,,224.128337,249.917048,231.1506994,303.0483546,350.5669154,283.3943542,356.5918592,406.3088968,,480.6623592,,728.7879356,771.7877627,1125.980328,763.776505,1249.590874,
275000,9.823266074,10.89050446,15.39781628,18.39860835,18.39860835,17.79080455,18.25570108,18.35151602,18.82646446,19.2928407,20.28232301,21.90845008,22.26759147,21.53212438,20.6936354,22.68082867,22.90721051,23.27994609,23.80897878,24.30473385,25.95406908,30.89526241,33.41627718,35.57474249,43.94002173,43.94003106,47.2870024,46.8501848,47.97589216,50.61601051,51.15057397,52.5097368,53.32796095,53.62472108,52.38325902,58.8856765,67.99527557,65.65876142,63.58692303,71.69205856,75.59459687,83.74820062,80.42632334,85.66911113,,85.10992964,80.32504716,93.56049703,97.19982138,,97.90455935,103.4805358,,115.9451993,128.2505857,,146.6332487,,146.0798426,152.4094985,131.6807154,151.2075441,152.0768351,141.2749033,154.8112454,167.3772053,162.4931805,151.359502,168.165908,175.8196762,169.7894934,,,,176.4029988,182.119236,171.3976548,198.7635289,195.8770075,,226.4691632,191.5600995,231.5454853,,243.6116227,269.6487439,245.3567962,325.8313946,381.0413992,,383.400276,441.6289837,,522.4459294,,792.1408512,845.977686,1223.86084,,1358.216747,
300000,10.56000655,11.83193829,16.59887977,19.9730171,19.9730171,19.17852639,19.7171275,19.78297459,20.29497005,20.83729342,22.01792531,23.81608633,24.21703068,23.21167738,22.0700232,24.44998313,24.69402325,25.09583302,25.66613143,26.20055648,27.97854349,33.49894404,36.02282021,38.34965055,47.36743995,47.36745,51.42679169,50.50460213,51.71811714,54.68898465,55.1404311,56.60561162,57.48765905,57.80756712,55.86740655,62.80231682,73.72554086,70.78028905,67.48334349,77.28419662,81.96529087,90.91471547,86.78933202,93.16910163,,91.74869112,85.66767608,100.8584213,104.781621,,104.4164476,111.1399765,,125.4693799,139.0588348,,159.3090161,,157.4743912,165.1448033,139.7497241,163.0020647,163.9391623,150.6714665,166.8868626,181.7000351,175.1680056,161.4268183,181.2832182,190.6367849,183.0334468,,,,189.9254885,196.3249364,181.9004013,214.2675208,207.879777,,244.1342554,201.7645712,249.6065417,,262.6138644,288.5751786,258.4270362,347.5032927,410.7634654,,408.9012308,476.0770146,,563.1978596,,853.9295777,919.6395693,1319.324674,,1464.160636,
325000,11.2740799,12.76555944,17.77028891,21.53176023,21.53176023,20.53198525,21.14842251,21.17909031,21.7272181,22.3499029,23.73625807,25.71014515,26.15432389,24.84976208,23.37928378,26.17545701,26.43671943,26.86688555,27.47743081,28.04957108,29.95303344,36.07028221,38.56500746,41.05604589,50.71023491,50.71024568,55.54078798,54.06879157,55.36794625,58.6813085,59.03177831,60.60035893,61.54465384,61.88713833,59.18163019,66.52794033,79.38462364,75.77536571,71.14369178,82.7382643,88.25684683,98.00992231,93.00935783,100.6223634,,98.22354099,90.74974191,107.9761592,112.1762253,,110.6107473,118.5483109,,134.8361396,149.7328217,,171.879591,,168.5876074,177.7044515,147.3298563,174.5053775,175.5086076,159.6097539,178.6643318,195.8803504,187.529888,171.0031457,194.0766609,205.2698325,195.9504059,,,,203.0775225,210.1798969,191.7668185,229.3887178,219.1553355,,261.363195,211.1531384,267.2216692,,281.1469391,306.7292152,270.4522376,368.1182397,439.7516912,,433.1584894,509.6745206,,602.943621,,914.1927351,992.777171,1412.431498,,1567.488762,
350000,11.96618353,13.69143274,18.91277584,23.0749936,23.0749936,21.8520271,22.55020733,22.54073582,23.12410382,23.83132567,25.43749314,27.59072318,28.07954678,26.44740231,24.62469096,27.85832879,28.13638828,28.59421063,29.24400905,29.85293335,31.87877306,38.60967871,41.04442788,43.69562009,53.97049597,53.97050743,59.62915198,57.54498087,58.92766076,62.59457904,62.82704782,64.49647558,65.50148107,65.86598456,62.33421725,70.07186304,84.97340817,80.64711348,74.58227077,88.05767056,94.47024784,105.0345307,99.08961372,108.0291875,,104.5385262,95.58395247,114.9181596,119.3882561,,116.5029474,125.7137712,,144.0480805,160.2742142,,184.3458464,,179.4264373,190.090866,154.4507315,185.7246726,186.7924023,168.1121159,190.1510142,209.9195692,199.5865546,180.1124302,206.5542324,219.7211055,208.5484442,,,,215.8692496,223.6927772,201.0354597,244.1365711,229.7477424,,278.1667505,219.7910372,284.4018775,,299.2224306,324.1423757,281.5159569,387.727784,468.0241951,,456.2327076,542.4425012,,641.7080561,,972.9679899,1065.394223,1503.239506,,1668.265708,
375000,12.63699337,14.60962249,20.02705468,24.60287154,24.60287154,23.13947699,23.9230904,23.86876217,24.48650031,25.28220473,27.12180064,29.45791636,29.99277455,28.00559667,25.80935892,29.49965032,29.79409216,30.27888791,30.96697033,31.61177045,33.756966,41.11753032,43.4626312,46.27002297,57.1502609,57.15027303,63.69204339,60.93534274,62.39948561,66.43036163,66.52861179,68.29639676,69.36061389,69.74659273,65.33305081,73.4429466,90.49276771,85.39857738,77.81251679,93.24574022,100.6064647,111.989243,105.0332405,115.3898633,,110.697594,100.1823958,121.6887613,126.4222213,,122.1077816,132.6443198,,153.1077613,170.6846595,,196.7086479,,189.9976556,202.3064362,161.1401746,196.6669622,197.7975991,176.1998129,201.3540894,223.8190955,211.3455409,188.7774496,218.7237315,233.9928618,220.8354357,,,,228.3105407,236.8720233,209.7425423,258.5202986,239.6983878,,294.5554247,227.7382878,301.1579051,,316.8516366,340.8448957,291.6950701,406.3809595,495.5986484,,478.1815828,574.4014374,,679.5153938,,1030.292078,1137.494429,1591.805456,,1766.554461,
400000,13.28716455,15.52019245,21.11382187,26.11554684,26.11554684,24.39513964,25.26766763,25.16399944,25.81525912,26.70316984,28.78934899,31.31181998,31.89408193,29.52531907,26.93624993,31.10044747,31.41086719,31.92197035,32.64739153,33.32718171,35.58878619,43.59422889,45.82112886,48.78086361,60.25151715,60.25152994,67.72962091,64.24199629,65.7855908,70.19019064,70.13878381,72.00249756,73.12446438,73.53138835,68.18562954,76.64962048,95.94356466,90.03272721,80.8470521,98.30571598,106.6664563,118.8747548,110.8433082,122.7046784,,116.7045938,104.5565704,128.2921963,133.2825173,,127.4392647,139.347658,,162.0176987,180.9657841,,208.9688543,,200.3078695,214.3535183,167.4243249,207.3390858,208.5310766,183.8930681,212.2805597,237.5803192,222.8141969,197.019871,230.5927646,248.0873316,232.8190604,,,,240.4109962,249.7258726,217.9220895,272.5488905,249.0461541,,310.5394611,235.0501113,317.5002248,,334.0455759,356.8657768,301.0603063,424.1244089,522.492286,,499.0599988,605.5713047,,716.3892651,,1086.20083,1209.081469,1678.184705,,1862.416457,
425000,13.91733208,16.42320586,22.17375668,27.61317077,27.61317077,25.61979986,26.5845226,26.42725719,27.11121075,28.09483774,30.44030496,33.15252861,33.7835432,31.00751939,28.00818183,32.6617208,32.9877239,33.52448495,34.28632299,35.00023931,37.37537858,46.04016142,48.12139501,51.22971138,63.27620312,63.27621655,71.74204227,67.46700826,69.08809275,73.87557004,73.65982038,75.6170944,76.79538507,77.22273703,70.89908636,79.69990302,101.3266507,94.55245948,83.69773421,103.2407605,112.6511695,125.6917546,116.5228183,129.9739184,,122.5632802,108.717414,134.7325919,139.9734319,,132.5107284,145.8312346,,170.7803679,191.1191945,,221.1273167,,210.3635234,226.2344365,173.3277378,217.7477137,218.9995436,191.2111189,222.9372545,251.2046164,233.9996907,204.8603048,242.1687503,262.006717,244.5068083,,,,252.1799533,262.2623593,225.606063,286.2311154,257.8275678,,326.1288503,241.7773136,333.4390512,,350.8149954,372.232837,309.6767396,441.0025,548.7219173,,518.9201624,635.9715853,,752.3527172,,1140.72919,1280.158995,1762.431243,,1955.911612,
450000,14.52811138,17.31872542,23.20752161,29.0958931,29.0958931,26.81422311,27.87422689,27.65932499,28.37516522,29.45781248,32.07483365,34.98013616,35.66123217,32.45312406,29.02783499,34.18444616,34.52564787,35.08743332,35.88478909,36.63198897,39.11785985,48.45571009,50.36486738,53.61809688,66.22620932,66.22622337,75.72946421,70.61239441,72.30905564,77.48797404,77.09392224,79.14244653,80.37567041,80.82294598,73.48020634,82.60142153,106.642867,98.96059916,86.37570222,108.0539583,118.5615393,132.4409241,122.0747043,137.1978674,,128.2773151,112.6753308,141.0139735,146.4991473,,137.3348539,152.1022542,,179.3982029,201.1464772,,233.1848796,,220.1709023,237.9514826,178.8734809,227.8993516,229.2095433,198.1722642,233.3308346,264.6933495,244.9090137,212.3183561,253.4589238,275.7531931,255.9059847,,,,263.6264937,274.489319,232.824488,299.5755248,266.0769426,,341.3333361,247.9666386,348.9843466,,367.1703764,386.9727592,317.6042409,457.057437,574.3039368,,537.8117344,665.6212802,,787.4282286,,1193.91124,1350.730633,1844.597727,,2047.098363,
475000,15.12009899,18.20681333,24.21576279,30.56386209,30.56386209,27.97915595,29.1373403,28.86097294,29.60791254,30.79268566,33.6930985,36.79473588,37.52722217,33.86303662,29.99775908,35.66957529,36.02560037,36.61179235,37.44378891,38.22345058,40.8173191,50.84125233,52.55294822,55.94751294,69.1033796,69.10339427,79.69204247,73.68012069,75.45049267,81.02884766,80.44323582,82.58075741,83.86755818,84.33426546,75.9354436,85.36143132,111.8930442,103.2599015,88.89142035,112.7483179,124.3984894,139.1229383,127.5018341,144.3768075,,133.8502701,116.4402178,147.1402673,152.8637422,,141.923704,158.1676854,,187.8735976,211.0491991,,245.1423804,,229.7361361,249.5069168,184.0832245,237.8003448,239.1674572,204.7939104,243.4677962,278.0478676,255.5489846,219.4126739,264.470342,289.3289076,267.0237144,,,,274.7594501,286.414394,239.6055708,312.5904597,273.8265131,,356.1624218,253.6610924,364.1458272,,383.1219416,401.1111371,324.8978942,472.3293654,599.2543339,,555.7819536,694.5389216,,821.6377225,,1245.78022,1420.799984,1924.735512,,2136.033705,
